listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL
Land,1000000,0,0,0,Oriba Town Eleranigbe Ibeju,Ibeju-Lekki,Lagos,,09099291672,20,https://www.propertypro.ng/property/land-for-sale-oriba-town-eleranigbe-ibeju-lekki-lagos-1GTYF
Land,1300000,0,0,0,Odoegiri Town,Epe,Lagos,,09099291672,20,https://www.propertypro.ng/property/land-for-sale-odoegiri-town-epe-lagos-7GTYF
Land,2000000,0,0,0,Eleranigbe Ibeju,Ibeju-Lekki,Lagos,,09099291672,20,https://www.propertypro.ng/property/land-for-sale-eleranigbe-ibeju-lekki-lagos-9GTYF
Land,2500000,0,0,0,Mayinre Road Eleranigbe Ibeju,Ibeju-Lekki,Lagos,,09099291672,20,https://www.propertypro.ng/property/land-for-sale-mayinre-road-eleranigbe-ibeju-lekki-lagos-5GUGV
Land,2100000,0,0,0,Imosan Town Lacampaigne Tropicana Ibeju,Ibeju-Lekki,Lagos,,09099291672,20,https://www.propertypro.ng/property/land-for-sale-imosan-town-lacampaigne-tropicana-ibeju-lekki-lagos-2GUGW
Land,1300000,0,0,0,Ajegbenwa Road Eleranigbe Ibeju,Ibeju-Lekki,Lagos,,09099291672,20,https://www.propertypro.ng/property/land-for-sale-ajegbenwa-road-eleranigbe-ibeju-lekki-lagos-3GUGX
600sqm Of Land,11600000,0,0,0,Eleko Ibeju,Ibeju-Lekki,Lagos,,09056385561,20,https://www.propertypro.ng/property/land-for-sale-eleko-ibeju-lekki-lagos-7GRNE
4 Bedroom Semi Detached Duplex,65000000,5,4,5,Ikota,Lekki,Lagos,Newly Built,09035137760,20,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-5GUYN
5 Bedroom Fully Detached Duplex,200000000,6,5,6,Osapa London,Lekki,Lagos,Newly Built,09035137760,20,https://www.propertypro.ng/property/5-bedroom-house-for-sale-osapa-london-lekki-lagos-6GUYL
Well Finished 5 Bedroom Fully Detached Duplex,140000000,5,5,6,Chevron Drive Chevron,Lekki,Lagos,Newly Built,09035137760,20,https://www.propertypro.ng/property/5-bedroom-house-for-sale-chevron-drive-chevron-lekki-lagos-4GUYK
5 Bedroom Automated Terrace Duplex,55500000,6,5,6,"34 Crescent By Kelina Hospital, 3rd Avenue",Gwarinpa,Abuja,,08071207696,20,https://www.propertypro.ng/property/5-bedroom-house-for-sale-34-crescent-by-kelina-hospital-3rd-avenue-gwarinpa-abuja-3GPUV
Newly Renovated 4 Bedroom Semi Detached Duplex,300000000,4,4,4,Amodu Ojikutu Street Saka Tinubu Victoria,Island,Lagos,,08026820114,10,https://www.propertypro.ng/property/4-bedroom-house-for-sale-amodu-ojikutu-street-saka-tinubu-victoria-island-lagos-2GGYP
5 Bedroom Terrace Duplex,120000000,6,5,6,Life,Camp,Abuja,Newly Built,07014115609,10,https://www.propertypro.ng/property/5-bedroom-house-for-sale-life-camp-abuja-6GSWY
Well Finished 4 Bedroom Fully Detached Duplex With A Room Bq;,85000000,4,4,5,Second Tollgate,Lekki,Lagos,Newly Built,08082163583,10,https://www.propertypro.ng/property/4-bedroom-house-for-sale-second-tollgate-lekki-lagos-9FSKE
4 Bedroom Terrace House,55000000,4,4,5,"Second Tollgate,",Lekki,Lagos,,08082163583,10,https://www.propertypro.ng/property/4-bedroom-house-for-sale-second-tollgate-lekki-lagos-7GJCH
Nicely Built 4 Bedroom Terrace Duplex,185000000,4,4,5,Lekki Phase 1,Lekki,Lagos,,08082163583,10,https://www.propertypro.ng/property/4-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-5GRLY
2 Bedroom Flat,48000000,2,2,3,Ikate,Lekki,Lagos,,08082163583,10,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-0GRTB
"1,000m² Of Land",380000000,0,0,0,"Daniyan Natalia Street, Lekki Phase 1",Lekki,Lagos,,07057302511,10,https://www.propertypro.ng/property/land-for-sale-daniyan-natalia-street-lekki-phase-1-lekki-lagos-4GUWG
A Block Of 4 Unit Of 3 Bedroom Flats With C Of O For Sale,65000000,3,3,4,Alagbole Ojodu Berger Ikeja Alausa Ifo,Ifo,Ogun,,08036411790,10,https://www.propertypro.ng/property/3-bedroom-house-for-sale-alagbole-ojodu-berger-ikeja-alausa-ifo-ifo-ogun-2FQHC
2 Bedroom Apartment,135000000,2,2,3,Banana Island Estate Banana Island,Ikoyi,Lagos,FurnishedServiced,08124269637,10,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-banana-island-estate-banana-island-ikoyi-lagos-1GMRL
Newly Built 3 Bedroom Apartment + Bq + Gym,240000000,3,3,4,,Ikoyi,Lagos,ServicedNewly Built,08124269637,10,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikoyi-lagos-9GKCW
Affordable Freehold Land,1550000, , , ,Oakwood Estate Dangote Refinery La Campaign Tropicana Lacampaigne Tropicana Ibeju,Ibeju-Lekki,Lagos,Serviced,08036411790,10,https://www.propertypro.ng/property/land-for-sale-oakwood-estate-dangote-refinery-la-campaign-tropicana-lacampaigne-tropicana-ibeju-lekki-lagos-4FQGM
5 Bedroom Semi Detached House *,400000000,0,0,0,"Banana Island Road,",Ikoyi,Lagos,,08124269637,10,https://www.propertypro.ng/property/house-for-sale-banana-island-road-ikoyi-lagos-2GKLH
2 Bedroom Apartment,45000000,3,2,3,Agungi,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/2-bedroom-house-for-sale-agungi-lekki-lagos-3GUMV
Luxury 5 Bedroom Semi Detached Duplex,450000000,5,5,6,"Off Alexander Road, Shoreline Drive Old Ikoyi",Ikoyi,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/5-bedroom-house-for-sale-off-alexander-road-shoreline-drive-old-ikoyi-ikoyi-lagos-5GUMU
5 Bedroom Fully Detached Duplex,350000000,5,5,6,Lekki Phase 1,Lekki,Lagos,,07057302511,10,https://www.propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-8GTYX
4 Bedroom Bungalow With C Of O,70000000,3,4,4,"Off Lumac Junction, Satellite Town, Dangote Jetty, Naval Dockyard,apapa Seaport Satellite Town Amuwo",Odofin,Lagos,,08036411790,10,https://www.propertypro.ng/property/4-bedroom-house-for-sale-off-lumac-junction-satellite-town-dangote-jetty-naval-dockyardapapa-seaport-satellite-town-amuwo-odofin-lagos-9FQLD
4 Bedroom Fully Detached Duplex,75000000,5,4,5,,Ajah,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-3GFFS
Fully Serviced 2 Bedroom Apartment,70000000,3,2,3,Lekki Phase 1,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/2-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-0GHHD
5 Bedroom Fully Detached Duplex With Bq,120000000,5,5,5,"Ajah,lekki",Ajah,Lagos,,08147329552,9,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ajahlekki-ajah-lagos-9GLLQ
4 Bedroom Terrace Duplex,50000000,5,4,5,Close To Lbs,Ajah,Lagos,ServicedNewly Built,09035137760,9,https://www.propertypro.ng/property/4-bedroom-house-for-sale-close-to-lbs-ajah-lagos-4GNDS
3 Bedroom Luxury Terrace Duplex,53000000,3,3,4,Ajiwe Abraham Adesanya Ajiwe,Ajah,Lagos,ServicedNewly Built,08023231314,9,https://www.propertypro.ng/property/3-bedroom-house-for-sale-ajiwe-abraham-adesanya-ajiwe-ajah-lagos-2GNNB
4 Bedroom Semi Detached Duplex With Bq,75000000,5,4,5, Idado,Lekki,Lagos,Newly Built,09035137760,9,https://www.propertypro.ng/property/4-bedroom-house-for-sale-idado-lekki-lagos-9EQZJ
