listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL
4 Bedroom Semi Detached Duplex,6000000,5,4,5,Ologolo,Lekki,Lagos,Newly Built,09035137760,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ologolo-lekki-lagos-5GNAS
5 Bedroom Detached Duplex,12000000,0,0,0,Ikeja Gra,Ikeja,Lagos,,08028761350,10,https://www.propertypro.ng/property/house-for-rent-ikeja-gra-ikeja-lagos-0GSCM
4 Bedroom Terrace Duplex,9000000,5,4,5,Lekki Phase 1,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-2GNXH
Newly Built 3 Bedroom Apartment,15000000,3,3,4,Lekki Phase 1,Lekki,Lagos,,07086048604,10,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-5GRJC
Waterfront 3 Bedroom Apartment + Bq + Gym +pool @n13m,13000000,3,3,4,"Banana Island Estate,",Ikoyi,Lagos,Serviced,08124269637,10,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-banana-island-estate-ikoyi-lagos-8GKLH
4 Bedroom Terrace Duplex,5000000,5,4,5,Osapa London,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-9GULW
5bedroom House,20000000,0,0,0,Old Ikoyi,Ikoyi,Lagos,,08124269637,10,https://www.propertypro.ng/property/house-for-rent-old-ikoyi-ikoyi-lagos-5GKLG
3 Bedroom Flat,8000000,3,3,4,Macpherson,Ikoyi,Lagos,Furnished,07086048604,10,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-macpherson-ikoyi-lagos-6GRRD
2 Bedroom Terrace Duplex,4500000,2,2,3,Close To Fairview School,Guzape,Abuja,Newly Built,08053979149,10,https://www.propertypro.ng/property/2-bedroom-house-for-rent-close-to-fairview-school-guzape-abuja-9GPQB
2 Bedroom Apartment,8000000,3,2,3,Victoria,Island,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/2-bedroom-house-for-rent-victoria-island-lagos-8GPKZ
